model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
LLAMA_official,4,512,2048,133.71318912506104,133711.79207611084,242.4944610595703,86.95068248537542
LLAMA_official,4,512,2048,133.71316480636597,133711.6181716919,242.1227569580078,86.9508113451035
LLAMA_official,16,1,512,42.426478147506714,42425.00609588623,71.49158477783203,83.04610688452627
LLAMA_official,16,1,512,42.4262912273407,42424.16743469238,70.58124542236328,83.04624742994122
LLAMA_official,16,8,512,42.28601384162903,42284.88185882568,85.24800109863281,83.89589236128639
LLAMA_official,16,8,512,42.28506636619568,42283.89586639404,84.27315521240234,83.89587020115634
LLAMA_official,16,64,512,38.3014817237854,38300.23375701904,146.95834350585938,85.35408369913463
LLAMA_official,16,64,512,38.30244827270508,38300.31154632568,147.06381225585938,85.35402177644256
LLAMA_official,16,512,2048,175.63271689414978,175630.7066192627,749.2556762695312,113.92928400194994
LLAMA_official,16,512,2048,175.63294053077698,175631.02110290527,749.3416748046875,113.92943285218279
